transcript	classification	median_mcr_mis_oe
ENST00000005257	P/LP	0.39387
ENST00000005257	B/LB	0.39387
ENST00000006015	B/LB	1.0493
ENST00000037502	P/LP	0.91688
ENST00000037502	B/LB	0.91688
ENST00000043402	B/LB	0.76161
ENST00000052754	B/LB	0.9045
ENST00000061240	B/LB	0.88501
ENST00000078429	P/LP	0.40667
ENST00000078429	B/LB	0.59445
ENST00000078445	B/LB	0.97012
ENST00000159111	P/LP	0.55978
ENST00000159111	B/LB	1.0565
ENST00000160827	P/LP	0.69641
ENST00000160827	B/LB	1.1576
ENST00000173229	B/LB	0.82859
ENST00000181839	P/LP	0.35875
ENST00000181839	B/LB	1.1289
ENST00000199389	B/LB	1.0286
ENST00000200676	B/LB	1.0039
ENST00000202625	B/LB	1.0295
ENST00000202917	P/LP	0.97584
ENST00000202917	B/LB	0.97584
ENST00000203407	B/LB	0.94431
ENST00000215095	P/LP	0.51669
ENST00000215095	B/LB	0.51669
ENST00000215727	B/LB	0.99267
ENST00000215832	P/LP	0.44663
ENST00000216181	P/LP	0.6168
ENST00000216181	B/LB	0.81279
ENST00000216297	P/LP	0.14966
ENST00000216373	P/LP	0.80714
ENST00000216373	B/LB	0.80714
ENST00000216484	P/LP	0.71669
ENST00000216484	B/LB	0.71669
ENST00000216774	P/LP	0.61285
ENST00000216774	B/LB	0.522755
ENST00000216797	P/LP	0.88913
ENST00000216797	B/LB	0.88913
ENST00000217086	B/LB	0.82272
ENST00000217133	P/LP	0.95297
ENST00000217133	B/LB	0.95297
ENST00000217182	P/LP	0.27039
ENST00000217182	B/LB	0.27039
ENST00000217244	P/LP	0.26289
ENST00000217244	B/LB	0.46856
ENST00000217305	P/LP	1.062
ENST00000217305	B/LB	1.062
ENST00000217381	P/LP	0.82968
ENST00000217381	B/LB	0.82968
ENST00000217402	P/LP	0.39359
ENST00000217740	P/LP	0.90194
ENST00000217740	B/LB	0.90194
ENST00000219797	P/LP	0.54339
ENST00000219797	B/LB	0.70944
ENST00000220592	P/LP	0.42033
ENST00000220592	B/LB	0
ENST00000221232	P/LP	0.17062
ENST00000221232	B/LB	0.96259
ENST00000222139	B/LB	0.89345
ENST00000222254	P/LP	0.89617
ENST00000222254	B/LB	0.93715
ENST00000222271	P/LP	0.84193
ENST00000222271	B/LB	0.84193
ENST00000222329	P/LP	0.2227
ENST00000222329	B/LB	0.90962
ENST00000222747	P/LP	0.87235
ENST00000222747	B/LB	0.87235
ENST00000225387	B/LB	0.81081
ENST00000225964	P/LP	0.61007
ENST00000225964	B/LB	0.61007
ENST00000226574	P/LP	0.56376
ENST00000226574	B/LB	0.72661
ENST00000227638	B/LB	1.0652
ENST00000227665	B/LB	0.92216
ENST00000228872	B/LB	1.2864
ENST00000229195	B/LB	0.66708
ENST00000229729	B/LB	0.94209
ENST00000230056	P/LP	0.93117
ENST00000230056	B/LB	0.93117
ENST00000230538	P/LP	0.95281
ENST00000230538	B/LB	0.95281
ENST00000231004	P/LP	0.5352
ENST00000231004	B/LB	1.0881
ENST00000231887	B/LB	0.9742
ENST00000232003	B/LB	1.0253
ENST00000232501	P/LP	0.77789
ENST00000232501	B/LB	0.77789
ENST00000232564	P/LP	0.75465
ENST00000232564	B/LB	0.75465
ENST00000234111	B/LB	0.85249
ENST00000237014	P/LP	0.72763
ENST00000237014	B/LB	0.72763
ENST00000238682	P/LP	0.70361
ENST00000238682	B/LB	0.70361
ENST00000239243	P/LP	0.71655
ENST00000239243	B/LB	1.1381
ENST00000239891	B/LB	0.77886
ENST00000239926	P/LP	0.85287
ENST00000239926	B/LB	0.85287
ENST00000240185	P/LP	0.56164
ENST00000240185	B/LB	0.38297
ENST00000240328	P/LP	1.0421
ENST00000240328	B/LB	1.0421
ENST00000241014	B/LB	0.91571
ENST00000241393	B/LB	0.62697
ENST00000241704	P/LP	0.72174
ENST00000241704	B/LB	0.72174
ENST00000242261	P/LP	0.61929
ENST00000243253	P/LP	0.47132
ENST00000243253	B/LB	0.47132
ENST00000245479	P/LP	0.28544
ENST00000245479	B/LB	0.90177
ENST00000245923	B/LB	0.95445
ENST00000246548	P/LP	0.410765
ENST00000246635	B/LB	0.98945
ENST00000246662	P/LP	0.30679
ENST00000246662	B/LB	0.89944
ENST00000246747	B/LB	0.8881
ENST00000246914	P/LP	0.92494
ENST00000246914	B/LB	0.92494
ENST00000246949	B/LB	1.3903
ENST00000248437	P/LP	0.57012
ENST00000248437	B/LB	0.36016
ENST00000248553	P/LP	1.2031
ENST00000248553	B/LB	1.2031
ENST00000249389	B/LB	0.94635
ENST00000249501	B/LB	1.0222
ENST00000249749	P/LP	0.71312
ENST00000249749	B/LB	0.66263
ENST00000251020	P/LP	0.89061
ENST00000251020	B/LB	0.95153
ENST00000251287	P/LP	0.50918
ENST00000251413	P/LP	0.36366
ENST00000251472	P/LP	0.41427
ENST00000251472	B/LB	0.93195
ENST00000251643	P/LP	0.93985
ENST00000251643	B/LB	0.93985
ENST00000251822	P/LP	0.77036
ENST00000251822	B/LB	0.77036
ENST00000252034	P/LP	0.90986
ENST00000252034	B/LB	0.90986
ENST00000252250	P/LP	0.96714
ENST00000252250	B/LB	0.96714
ENST00000252252	P/LP	1.0545
ENST00000252252	B/LB	1.0545
ENST00000252321	B/LB	1.0863
ENST00000252699	P/LP	0.40794
ENST00000252699	B/LB	0.59707
ENST00000252744	P/LP	0.52841
ENST00000252744	B/LB	0.77056
ENST00000252826	P/LP	0.99886
ENST00000252826	B/LB	1.0023
ENST00000252934	B/LB	0.97914
ENST00000252971	P/LP	0.056413
ENST00000252971	B/LB	1.1472
ENST00000254250	P/LP	0.69562
ENST00000254250	B/LB	0.69562
ENST00000254657	B/LB	0.93028
ENST00000254719	B/LB	0.89286
ENST00000254810	P/LP	0.20972
ENST00000254853	P/LP	0.94791
ENST00000254853	B/LB	0.94791
ENST00000254950	P/LP	0.48983
ENST00000254950	B/LB	0.857915
ENST00000254958	P/LP	0.6566
ENST00000254958	B/LB	0.66453
ENST00000254976	P/LP	0.42521
ENST00000254976	B/LB	0.42521
ENST00000256103	P/LP	0.98066
ENST00000256103	B/LB	0.98066
ENST00000256637	B/LB	0.76466
ENST00000256646	P/LP	0.56875
ENST00000256646	B/LB	0.77409
ENST00000256737	P/LP	0.69007
ENST00000256737	B/LB	0.69007
ENST00000256785	B/LB	1.1457
ENST00000257068	B/LB	0.98247
ENST00000257749	B/LB	0.98906
ENST00000257776	B/LB	0.99173
ENST00000257904	P/LP	0.73587
ENST00000257904	B/LB	0.73587
ENST00000258168	B/LB	1.1593
ENST00000258439	P/LP	0.95475
ENST00000258439	B/LB	0.95475
ENST00000258781	P/LP	0.82838
ENST00000258781	B/LB	0.82838
ENST00000259089	B/LB	1.2914
ENST00000259241	B/LB	0.6956
ENST00000259818	P/LP	0.018739
ENST00000259818	B/LB	0.018739
ENST00000260731	P/LP	0.72351
ENST00000260731	B/LB	0.81533
ENST00000260988	B/LB	1.1119
ENST00000261024	P/LP	0.70672
ENST00000261024	B/LB	0.7827
ENST00000261167	B/LB	0.82036
ENST00000261205	P/LP	0.17736
ENST00000261205	B/LB	0.57582
ENST00000261254	P/LP	1.125
ENST00000261254	B/LB	1.125
ENST00000261267	P/LP	0.7604
ENST00000261267	B/LB	0.7604
ENST00000261349	P/LP	0.75131
ENST00000261349	B/LB	0.75131
ENST00000261366	P/LP	0.84925
ENST00000261366	B/LB	0.84925
ENST00000261646	P/LP	0.86006
ENST00000261646	B/LB	0.86006
ENST00000261667	P/LP	0.5227
ENST00000261667	B/LB	0.5227
ENST00000261716	P/LP	0.54225
ENST00000261716	B/LB	0.68565
ENST00000261726	P/LP	0.49897
ENST00000261726	B/LB	0.90199
ENST00000261799	P/LP	0.79289
ENST00000261799	B/LB	0.79289
ENST00000261800	P/LP	0.89852
ENST00000261800	B/LB	0.89852
ENST00000261862	B/LB	1.0014
ENST00000261880	P/LP	1.2039
ENST00000261880	B/LB	1.2039
ENST00000261921	B/LB	0.91891
ENST00000262030	P/LP	0.42614
ENST00000262030	B/LB	1.2259
ENST00000262160	P/LP	0.24158
ENST00000262177	P/LP	0.18734
ENST00000262177	B/LB	0.91665
ENST00000262189	P/LP	0.51364
ENST00000262189	B/LB	1.021
ENST00000262209	B/LB	0.96296
ENST00000262215	P/LP	0.43404
ENST00000262215	B/LB	0.85926
ENST00000262238	P/LP	0.1223
ENST00000262238	B/LB	0.90953
ENST00000262367	P/LP	0.39694
ENST00000262367	B/LB	1.0282
ENST00000262426	P/LP	0.35625
ENST00000262426	B/LB	1.1298
ENST00000262464	P/LP	0.83068
ENST00000262464	B/LB	0.83068
ENST00000262483	B/LB	0.85855
ENST00000262518	P/LP	1.0444
ENST00000262518	B/LB	1.0327
ENST00000262519	P/LP	1.0201
ENST00000262519	B/LB	1.0201
ENST00000262554	P/LP	0.82823
ENST00000262554	B/LB	0.82823
ENST00000262795	P/LP	0.589775
ENST00000262795	B/LB	1.2188
ENST00000262948	P/LP	0.67126
ENST00000262948	B/LB	0.95999
ENST00000263094	B/LB	1.139
ENST00000263150	P/LP	0.72077
ENST00000263150	B/LB	0.72077
ENST00000263257	B/LB	0.60372
ENST00000263269	P/LP	0.51077
ENST00000263269	B/LB	0.81517
ENST00000263270	P/LP	0.32216
ENST00000263270	B/LB	0.32216
ENST00000263331	B/LB	0.76402
ENST00000263360	P/LP	0.45014
ENST00000263360	B/LB	0.85797
ENST00000263388	P/LP	0.78089
ENST00000263388	B/LB	0.94713
ENST00000263431	P/LP	0.34129
