transcript	classification	median_mcr_mis_oe
ENST00000005226	P/LP	0.99771
ENST00000005226	B/LB	0.99771
ENST00000006750	B/LB	0.72875
ENST00000013070	B/LB	0.76966
ENST00000016171	P/LP	0.83814
ENST00000016171	B/LB	0.83814
ENST00000017003	P/LP	0.696225
ENST00000017003	B/LB	0.80332
ENST00000029410	P/LP	1.1247
ENST00000029410	B/LB	1.1247
ENST00000046087	B/LB	1.0109
ENST00000046640	P/LP	0.96132
ENST00000046640	B/LB	0.96132
ENST00000064780	P/LP	0.93432
ENST00000064780	B/LB	0.93432
ENST00000164139	P/LP	0.88935
ENST00000164139	B/LB	0.88935
ENST00000164305	P/LP	0.9668
ENST00000164305	B/LB	0.9668
ENST00000166345	P/LP	0.53353
ENST00000166345	B/LB	0.72921
ENST00000176643	P/LP	0.91521
ENST00000176643	B/LB	0.91521
ENST00000178638	P/LP	0.96597
ENST00000178638	B/LB	0.96597
ENST00000180166	B/LB	1.4108
ENST00000196061	P/LP	0.93042
ENST00000196061	B/LB	0.93042
ENST00000196371	P/LP	0.63418
ENST00000196371	B/LB	0.62938
ENST00000199447	B/LB	1.0389
ENST00000200181	P/LP	0.89447
ENST00000200181	B/LB	0.89447
ENST00000201586	P/LP	0.98815
ENST00000201586	B/LB	0.98815
ENST00000205402	P/LP	0.88886
ENST00000205402	B/LB	0.88886
ENST00000206542	P/LP	0.90951
ENST00000206542	B/LB	0.90951
ENST00000206765	P/LP	0.89089
ENST00000206765	B/LB	0.89089
ENST00000207549	P/LP	1.0144
ENST00000207549	B/LB	0.90317
ENST00000209728	B/LB	0.91286
ENST00000209873	P/LP	0.95788
ENST00000209873	B/LB	0.95788
ENST00000210060	P/LP	1.0248
ENST00000210060	B/LB	1.0248
ENST00000215375	B/LB	1.1943
ENST00000215539	P/LP	1.1735
ENST00000215539	B/LB	1.1735
ENST00000215730	P/LP	1.0936
ENST00000215730	B/LB	1.0936
ENST00000215794	B/LB	0.83063
ENST00000215838	P/LP	1.2393
ENST00000215838	B/LB	1.2393
ENST00000215882	P/LP	0.88597
ENST00000215882	B/LB	0.88597
ENST00000216027	B/LB	1.031
ENST00000216122	B/LB	0.87918
ENST00000216124	P/LP	0.99817
ENST00000216124	B/LB	0.99817
ENST00000216185	B/LB	0.83292
ENST00000216223	B/LB	1.0563
ENST00000216392	P/LP	0.96067
ENST00000216392	B/LB	0.96067
ENST00000216465	P/LP	0.96787
ENST00000216540	B/LB	1.2413
ENST00000216639	P/LP	1.0212
ENST00000216639	B/LB	1.0566
ENST00000216862	P/LP	1.2052
ENST00000216862	B/LB	1.2052
ENST00000217260	B/LB	1.052
ENST00000217289	P/LP	0.85602
ENST00000217289	B/LB	0.85602
ENST00000217426	P/LP	0.7557
ENST00000217426	B/LB	0.7557
ENST00000218867	P/LP	0.99161
ENST00000218867	B/LB	0.99161
ENST00000219070	P/LP	0.9375
ENST00000219070	B/LB	0.9375
ENST00000219097	P/LP	1.1172
ENST00000219097	B/LB	1.1172
ENST00000219150	P/LP	0.62293
ENST00000219150	B/LB	1.0621
ENST00000219204	B/LB	0.84013
ENST00000219240	P/LP	1.0197
ENST00000219240	B/LB	1.0197
ENST00000219281	P/LP	0.95071
ENST00000219281	B/LB	0.95071
ENST00000219368	P/LP	0.99221
ENST00000219368	B/LB	0.99221
ENST00000219611	P/LP	0.92055
ENST00000219611	B/LB	1.1371
ENST00000220058	P/LP	1.0617
ENST00000220058	B/LB	1.0617
ENST00000220420	P/LP	0.96493
ENST00000220420	B/LB	0.96493
ENST00000220531	P/LP	0.89219
ENST00000220531	B/LB	0.89219
ENST00000220562	P/LP	0.90997
ENST00000220562	B/LB	0.90997
ENST00000221130	P/LP	0.9868
ENST00000221130	B/LB	0.9868
ENST00000221233	P/LP	0.96422
ENST00000221233	B/LB	0.96422
ENST00000221283	P/LP	0.86927
ENST00000221283	B/LB	0.86927
ENST00000221431	P/LP	0.95289
ENST00000221431	B/LB	0.95289
ENST00000221452	B/LB	0.82863
ENST00000221486	P/LP	1.0273
ENST00000221486	B/LB	1.0273
ENST00000221496	P/LP	1.274
ENST00000221496	B/LB	1.274
ENST00000221972	P/LP	0.79072
ENST00000221972	B/LB	0.79072
ENST00000222214	P/LP	0.85545
ENST00000222214	B/LB	0.85545
ENST00000222219	B/LB	0.91084
ENST00000222248	P/LP	0.93861
ENST00000222248	B/LB	0.93861
ENST00000222284	P/LP	0.89839
ENST00000222304	P/LP	1.0083
ENST00000222345	B/LB	0.9263
ENST00000222399	B/LB	0.96929
ENST00000222673	B/LB	0.74557
ENST00000222725	P/LP	1.0149
ENST00000222725	B/LB	0.93832
ENST00000222803	B/LB	1.0162
ENST00000223029	P/LP	1.2424
ENST00000223029	B/LB	1.2424
ENST00000223051	P/LP	0.87921
ENST00000223051	B/LB	0.87921
ENST00000223073	P/LP	0.91786
ENST00000223073	B/LB	0.91786
ENST00000223127	P/LP	1.0612
ENST00000223127	B/LB	1.0612
ENST00000223208	B/LB	0.94913
ENST00000223357	P/LP	0.92713
ENST00000223357	B/LB	0.92713
ENST00000224337	B/LB	1.0037
ENST00000224949	P/LP	1.1158
ENST00000224949	B/LB	1.1158
ENST00000224950	B/LB	0.85192
ENST00000225171	P/LP	0.95811
ENST00000225171	B/LB	0.95811
ENST00000225371	B/LB	0.97543
ENST00000225519	B/LB	1.0416
ENST00000225609	P/LP	0.95604
ENST00000225609	B/LB	0.95604
ENST00000225698	P/LP	0.94714
ENST00000225698	B/LB	0.94714
ENST00000225873	P/LP	0.85682
ENST00000225873	B/LB	0.85682
ENST00000226413	P/LP	0.95783
ENST00000226413	B/LB	0.95783
ENST00000227266	P/LP	1.0471
ENST00000227266	B/LB	1.0471
ENST00000227322	B/LB	0.90873
ENST00000227474	P/LP	0.92217
ENST00000227474	B/LB	0.92217
ENST00000227752	P/LP	0.88472
ENST00000227752	B/LB	0.88472
ENST00000227868	P/LP	1.0034
ENST00000227868	B/LB	1.0034
ENST00000228425	B/LB	0.90504
ENST00000228606	P/LP	0.97364
ENST00000228606	B/LB	0.97364
ENST00000228682	P/LP	0.86191
ENST00000228682	B/LB	1.0396
ENST00000229179	P/LP	0.85337
ENST00000229179	B/LB	0.85337
ENST00000229281	P/LP	1.3285
ENST00000229335	P/LP	0.85565
ENST00000229335	B/LB	0.85565
ENST00000229379	B/LB	1.0094
ENST00000229554	P/LP	0.92724
ENST00000229554	B/LB	0.92724
ENST00000229769	P/LP	0.91873
ENST00000229769	B/LB	0.91873
ENST00000229771	P/LP	1.0238
ENST00000229771	B/LB	1.0499
ENST00000230122	P/LP	0.86248
ENST00000230122	B/LB	0.86248
ENST00000230771	P/LP	0.90835
ENST00000230771	B/LB	0.90835
ENST00000231061	B/LB	0.80214
ENST00000231198	P/LP	1.0141
ENST00000231198	B/LB	1.0141
ENST00000231228	B/LB	0.88272
ENST00000231420	B/LB	1.0381
ENST00000231484	B/LB	0.91842
ENST00000231498	B/LB	0.94187
ENST00000231572	P/LP	0.99942
ENST00000231572	B/LB	0.99942
ENST00000231706	P/LP	0.90163
ENST00000231706	B/LB	0.90163
ENST00000231749	P/LP	0.8062
ENST00000231749	B/LB	0.8062
ENST00000231948	B/LB	1.1599
ENST00000232607	P/LP	0.90091
ENST00000232607	B/LB	0.90091
ENST00000233190	P/LP	1.0012
ENST00000233596	P/LP	1.0836
ENST00000233596	B/LB	1.0836
ENST00000233627	P/LP	0.81126
ENST00000233627	B/LB	0.81126
ENST00000233741	P/LP	1.1606
ENST00000233741	B/LB	1.1606
ENST00000234256	P/LP	0.79956
ENST00000234256	B/LB	0.79956
ENST00000234396	P/LP	0.9333
ENST00000234396	B/LB	0.9333
ENST00000234677	P/LP	0.67782
ENST00000234677	B/LB	0.67782
ENST00000235345	P/LP	0.93142
ENST00000235345	B/LB	0.93142
ENST00000235521	P/LP	0.9522
ENST00000235521	B/LB	0.9522
ENST00000236137	P/LP	0.92221
ENST00000236137	B/LB	0.92221
ENST00000236671	P/LP	0.87359
ENST00000236671	B/LB	0.87359
ENST00000236959	P/LP	1.0745
ENST00000236959	B/LB	1.0745
ENST00000237353	B/LB	1.0201
ENST00000238667	B/LB	1.0011
ENST00000238892	P/LP	1.1533
ENST00000238961	B/LB	0.98458
ENST00000239174	B/LB	0.90692
ENST00000239878	P/LP	0.93573
ENST00000240423	B/LB	0.86075
ENST00000240499	B/LB	0.96576
ENST00000240651	P/LP	0.73666
ENST00000240651	B/LB	0.73666
ENST00000241600	P/LP	0.9224
ENST00000241600	B/LB	0.9224
ENST00000242057	B/LB	1.1177
ENST00000242067	P/LP	0.94222
ENST00000242067	B/LB	0.94222
ENST00000242317	P/LP	0.9682
ENST00000242317	B/LB	0.9682
ENST00000242375	P/LP	0.90502
ENST00000242505	B/LB	0.9021
ENST00000242576	P/LP	0.98342
ENST00000242576	B/LB	0.98342
ENST00000242591	P/LP	0.91828
ENST00000242591	B/LB	0.91828
ENST00000242592	P/LP	0.91351
ENST00000242592	B/LB	0.91351
ENST00000242839	P/LP	0.99766
ENST00000242839	B/LB	0.99766
ENST00000243056	B/LB	0.91779
ENST00000243077	B/LB	0.60195
ENST00000243498	P/LP	1.0538
ENST00000243498	B/LB	1.0538
ENST00000243578	P/LP	0.90452
ENST00000243578	B/LB	0.90452
ENST00000243997	B/LB	1.0333
ENST00000244137	P/LP	0.99876
ENST00000244137	B/LB	0.99876
ENST00000244217	B/LB	1.0087
ENST00000244289	B/LB	0.93819
ENST00000244571	P/LP	0.89596
ENST00000244571	B/LB	0.89596
ENST00000245157	P/LP	0.8701
ENST00000245157	B/LB	0.8701
ENST00000245206	P/LP	0.76834
ENST00000245206	B/LB	0.76834
ENST00000245312	B/LB	1.1925
ENST00000245407	P/LP	0.93364
ENST00000245407	B/LB	0.93364
ENST00000245539	B/LB	1.0187
ENST00000245544	P/LP	0.92247
ENST00000245544	B/LB	0.92247
ENST00000245615	P/LP	1.0373
ENST00000245615	B/LB	1.0373
ENST00000245816	P/LP	0.75817
ENST00000245903	B/LB	0.90853
ENST00000246112	P/LP	1.1277
ENST00000246112	B/LB	1.1277
ENST00000246515	P/LP	0.79393
ENST00000247026	B/LB	0.91525
ENST00000248114	P/LP	1.0691
ENST00000248114	B/LB	1.0691
ENST00000248846	B/LB	1.0571
ENST00000248899	P/LP	0.93733
ENST00000248899	B/LB	0.93733
ENST00000249269	P/LP	0.97937
ENST00000249269	B/LB	0.97937
ENST00000249750	B/LB	0.79838
ENST00000249806	P/LP	0.92791
ENST00000249806	B/LB	0.92791
ENST00000250003	B/LB	1.0961
ENST00000250124	P/LP	0.93812
ENST00000250124	B/LB	0.93812
ENST00000251038	B/LB	1.0355
ENST00000251047	B/LB	1.0061
ENST00000251102	P/LP	1.0437
ENST00000251102	B/LB	1.0437
ENST00000251268	P/LP	0.84373
ENST00000251268	B/LB	0.84373
ENST00000251582	P/LP	0.93067
ENST00000251582	B/LB	1.014
ENST00000251607	P/LP	1.255
ENST00000251607	B/LB	1.255
ENST00000251654	P/LP	1.0899
ENST00000251654	B/LB	1.0899
ENST00000251871	P/LP	0.91233
ENST00000251871	B/LB	0.91233
ENST00000251973	B/LB	0.90574
ENST00000252029	P/LP	1.2353
ENST00000252029	B/LB	1.2353
ENST00000252037	B/LB	0.95583
ENST00000252102	P/LP	1.1434
ENST00000252108	B/LB	0.84541
ENST00000252288	P/LP	1.1943
ENST00000252288	B/LB	1.1943
ENST00000252490	B/LB	0.93535
ENST00000252590	B/LB	0.96736
ENST00000252599	B/LB	0.96023
ENST00000252711	P/LP	0.9156
ENST00000252711	B/LB	0.9156
ENST00000252804	P/LP	1.033115
ENST00000252804	B/LB	0.95065
ENST00000252936	B/LB	0.88528
ENST00000253008	P/LP	0.85707
ENST00000253008	B/LB	0.85707
ENST00000253079	B/LB	0.86981
ENST00000253233	P/LP	0.99056
ENST00000253413	P/LP	0.67124
ENST00000253413	B/LB	0.67124
ENST00000253801	P/LP	0.90103
ENST00000253801	B/LB	0.90103
ENST00000254190	B/LB	0.88941
ENST00000254630	B/LB	1.0505
ENST00000254722	P/LP	1.0391
ENST00000254722	B/LB	1.0391
ENST00000254765	B/LB	0.91353
ENST00000254806	P/LP	0.98615
ENST00000254806	B/LB	0.98615
ENST00000254928	B/LB	0.95262
ENST00000255006	B/LB	1.0577
ENST00000255078	P/LP	0.91259
ENST00000255078	B/LB	0.91259
ENST00000255108	P/LP	0.90772
ENST00000255108	B/LB	0.90772
ENST00000255189	P/LP	0.93557
ENST00000255189	B/LB	0.93557
ENST00000255194	P/LP	0.60729
ENST00000255194	B/LB	0.90863
ENST00000255390	P/LP	1.0586
ENST00000255390	B/LB	1.0586
ENST00000255476	B/LB	0.91727
ENST00000255784	P/LP	0.91035
ENST00000255882	P/LP	0.74407
ENST00000255882	B/LB	0.64325
ENST00000256079	P/LP	0.80078
ENST00000256079	B/LB	0.80078
ENST00000256084	P/LP	0.92419
ENST00000256084	B/LB	0.92419
ENST00000256108	B/LB	0.88882
ENST00000256190	P/LP	0.90474
ENST00000256190	B/LB	0.90474
ENST00000256433	P/LP	0.99196
ENST00000256592	P/LP	1.08
ENST00000256592	B/LB	1.08
ENST00000256996	P/LP	0.77714
ENST00000256996	B/LB	0.77714
ENST00000257189	B/LB	1.0001
ENST00000257248	P/LP	0.93763
ENST00000257248	B/LB	0.93763
ENST00000257287	B/LB	1.0059
ENST00000257347	B/LB	1.0342
ENST00000257694	B/LB	0.9662
ENST00000257700	B/LB	0.96413
ENST00000257770	B/LB	0.943
ENST00000257863	P/LP	0.89279
ENST00000257863	B/LB	0.89279
ENST00000257879	B/LB	0.94339
ENST00000257901	B/LB	0.97978
ENST00000258145	P/LP	0.75142
ENST00000258145	B/LB	0.75142
ENST00000258173	P/LP	1.0075
ENST00000258173	B/LB	1.0075
ENST00000258383	P/LP	1.0279
ENST00000258383	B/LB	1.0279
ENST00000258415	P/LP	1.0247
ENST00000258415	B/LB	1.0247
ENST00000258733	B/LB	0.97845
ENST00000258821	P/LP	0.95439
ENST00000258821	B/LB	0.95439
ENST00000258874	B/LB	0.97636
ENST00000258886	B/LB	0.78444
ENST00000258888	B/LB	1.0322
ENST00000258930	P/LP	0.91084
ENST00000258930	B/LB	0.91084
ENST00000258975	P/LP	0.92619
ENST00000258975	B/LB	0.92619
ENST00000259229	B/LB	1.0705
ENST00000259407	B/LB	0.97029
ENST00000260061	B/LB	0.9401
ENST00000260116	P/LP	0.95443
ENST00000260116	B/LB	0.95443
ENST00000260228	P/LP	1.1025
ENST00000260228	B/LB	1.1025
ENST00000260361	P/LP	1.0143
ENST00000260361	B/LB	1.0143
ENST00000260453	B/LB	1.074
ENST00000260570	P/LP	0.88693
ENST00000260570	B/LB	0.908335
ENST00000260585	B/LB	0.76287
ENST00000260598	B/LB	1.0079
ENST00000260605	P/LP	1.1739
ENST00000260605	B/LB	1.1739
ENST00000260803	P/LP	0.96052
ENST00000260803	B/LB	0.928
ENST00000260950	B/LB	0.8949
ENST00000261195	P/LP	1.0306
ENST00000261195	B/LB	1.0306
ENST00000261234	P/LP	0.96621
ENST00000261234	B/LB	0.96621
ENST00000261249	B/LB	0.95461
ENST00000261250	P/LP	0.53831
ENST00000261296	P/LP	0.89629
ENST00000261296	B/LB	0.89629
ENST00000261304	P/LP	1.0305
ENST00000261304	B/LB	1.0305
ENST00000261326	P/LP	0.99385
ENST00000261326	B/LB	0.99385
ENST00000261381	P/LP	0.78183
ENST00000261381	B/LB	1.0283
ENST00000261396	P/LP	0.974355
ENST00000261396	B/LB	1.0394
ENST00000261416	P/LP	0.91143
ENST00000261416	B/LB	0.91143
ENST00000261448	P/LP	1.0097
ENST00000261448	B/LB	1.0097
ENST00000261458	P/LP	1.0069
ENST00000261458	B/LB	1.0069
ENST00000261499	P/LP	0.94993
ENST00000261499	B/LB	0.94993
ENST00000261507	P/LP	0.834
ENST00000261507	B/LB	0.834
ENST00000261534	P/LP	0.98418
ENST00000261534	B/LB	0.98418
ENST00000261556	P/LP	1.0569
ENST00000261556	B/LB	1.0569
ENST00000261588	P/LP	0.9624
ENST00000261588	B/LB	0.9624
ENST00000261609	B/LB	0.758855
ENST00000261623	P/LP	1.1986
ENST00000261623	B/LB	1.1986
ENST00000261643	P/LP	0.76447
ENST00000261643	B/LB	0.99796
ENST00000261647	B/LB	0.99442
ENST00000261758	B/LB	1.1528
ENST00000261776	P/LP	0.4965
ENST00000261776	B/LB	0.89462
ENST00000261797	P/LP	0.695
ENST00000261797	B/LB	0.695
ENST00000261837	P/LP	0.92373
ENST00000261854	B/LB	0.88811
ENST00000261866	P/LP	1.084
ENST00000261866	B/LB	1.084
ENST00000261884	B/LB	0.96844
ENST00000261892	B/LB	0.86042
ENST00000261980	P/LP	1.0353
ENST00000261980	B/LB	1.0353
ENST00000262018	P/LP	0.90685
ENST00000262018	B/LB	0.90685
ENST00000262052	P/LP	0.74874
ENST00000262052	B/LB	0.74874
ENST00000262093	P/LP	0.81453
ENST00000262093	B/LB	0.81453
ENST00000262193	B/LB	0.93962
ENST00000262233	P/LP	0.27521
ENST00000262233	B/LB	0.78574
ENST00000262294	P/LP	0.86353
ENST00000262294	B/LB	0.86353
ENST00000262301	P/LP	1.2357
ENST00000262301	B/LB	1.2357
ENST00000262319	P/LP	1.0365
ENST00000262319	B/LB	1.0365
ENST00000262348	P/LP	0.88195
ENST00000262374	P/LP	1.2712
ENST00000262374	B/LB	1.2712
ENST00000262442	P/LP	0.94607
ENST00000262442	B/LB	0.94607
ENST00000262457	P/LP	0.91826
ENST00000262457	B/LB	0.99431
ENST00000262460	P/LP	0.98771
ENST00000262460	B/LB	0.98771
ENST00000262507	B/LB	0.97921
ENST00000262629	B/LB	1.0635
ENST00000262644	P/LP	0.96959
ENST00000262644	B/LB	0.96959
ENST00000262794	P/LP	0.91237
ENST00000262794	B/LB	0.91237
ENST00000262887	P/LP	0.96291
ENST00000262887	B/LB	0.96291
ENST00000262903	P/LP	0.54764
