gene	gene_id	transcript	transcript_mis_oe	transcript_cds_length	n_mcrs	min_mcr_mis_oe	min_mcr_oe_cds_length	loeuf	loeuf_decile	genebayes_shet_decile	roulette_shet_decile	omim_disease_inheritance	ddg2p_monoallelic_strong_def
ARF5	ENSG00000004059	ENST00000000233	0.56436	540	2	0.1675813817	118	0.5649342081	3	10	10	No OMIM disease association	FALSE
M6PR	ENSG00000003056	ENST00000000412	0.87804	831	1	0.8780284541	NA	0.8843333957	5	8	7	No OMIM disease association	FALSE
ESRRA	ENSG00000173153	ENST00000000442	0.67291	1269	4	0	38	0.3112799365	1	9	9	No OMIM disease association	FALSE
FKBP4	ENSG00000004478	ENST00000001008	0.85829	1377	1	0.8582869081	NA	0.6208688997	3	8	7	No OMIM disease association	FALSE
CYP26B1	ENSG00000003137	ENST00000001146	0.86985	1536	1	0.8698480948	NA	0.3188726033	1	7	10	Other inheritance type	FALSE
NDUFAF7	ENSG00000003509	ENST00000002125	1.1812	1323	1	1.181219539	NA	1.370821489	8	3	1	No OMIM disease association	FALSE
FUCA2	ENSG00000001036	ENST00000002165	0.89032	1401	1	0.8903171426	NA	0.8227568626	5	2	3	No OMIM disease association	FALSE
DBNDD1	ENSG00000003249	ENST00000002501	1.0222	474	1	1.022201665	NA	1.503570404	9	6	7	No OMIM disease association	FALSE
HS3ST1	ENSG00000002587	ENST00000002596	1.0297	921	1	1.029734772	NA	4.818401368	10	7	7	No OMIM disease association	FALSE
SEMA3F	ENSG00000001617	ENST00000002829	0.77368	2355	3	0.6417075598	1223	0.3534149505	1	9	9	No OMIM disease association	FALSE
CFTR	ENSG00000001626	ENST00000003084	1.1345	4440	1	1.134490114	NA	1.249922406	8	1	NA	Other inheritance type	FALSE
CYP51A1	ENSG00000001630	ENST00000003100	0.74311	1527	1	0.7431117402	NA	1.258008112	8	5	4	No OMIM disease association	FALSE
USP28	ENSG00000048028	ENST00000003302	0.93129	3231	1	0.9312965261	NA	0.9371503654	6	7	6	No OMIM disease association	FALSE
TMEM176A	ENSG00000002933	ENST00000004103	0.87156	705	1	0.8715501141	NA	1.026518177	6	3	3	No OMIM disease association	FALSE
